"OU","ObjectClass","IdentityReference","PrincipalName","ActiveDirectoryRights","InheritanceType","ObjectType","InheritedObjectType","ObjectFlags","AccessControlType","IsInherited","InheritanceFlags","PropagationFlags","SDDate","InvocationID","OrgUSN","LegendText"
"CN=Admin-Context-Menu,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Admin-Count,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Admin-Description,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Admin-Display-Name,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Admin-Multiselect-Property-Pages,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Admin-Property-Pages,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Aggregate,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Allowed-Attributes,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Allowed-Attributes-Effective,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Allowed-Child-Classes,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Allowed-Child-Classes-Effective,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Alt-Security-Identities,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ANR,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Application-Entity,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Application-Name,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Application-Process,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Application-Settings,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Application-Site-Settings,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Application-Version,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Applies-To,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=App-Schema-Version,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Asset-Number,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Assistant,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=associatedDomain,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=associatedName,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Assoc-NT-Account,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=attributeCertificateAttribute,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Attribute-Display-Names,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Attribute-ID,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Attribute-Schema,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Attribute-Security-GUID,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Attribute-Syntax,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Attribute-Types,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=audio,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Auditing-Policy,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Authentication-Options,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Authority-Revocation-List,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Auxiliary-Class,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Bad-Password-Time,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Bad-Pwd-Count,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Birth-Location,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
